Dockerfile,Component,Origin,License,Distributed by you?,Comments
Dockerfile-camcalibration,fsspec==2025.7.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,h5py==3.14.0,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,idna==3.10,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,intel_extension_for_pytorch==2.7.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,ipython==8.37.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,ipywidgets==8.1.7,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,isodate==0.7.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,itsdangerous==2.2.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,Jinja2==3.1.6,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,joblib==1.5.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,jupyter_core==5.8.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,jupyterlab_widgets==3.0.15,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,lxml==6.0.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,MarkupSafe==3.0.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,mpmath==1.3.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,nbformat==5.10.4,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,nest-asyncio==1.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,networkx==3.4.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,numpy==1.26.4,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,oauthlib==3.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,pandas==2.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,prompt_toolkit==3.0.51,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,psutil==7.0.0,pypi,BSD-3-Clause,Y,used by tests
Dockerfile-camcalibration,pycolmap==0.4.0,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,Pygments==2.19.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,PySocks==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,python-dateutil==2.9.0.post0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,scikit-learn==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,scipy==1.15.3,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,sympy==1.14.0,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,threadpoolctl==3.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,torch==2.7.1+cpu,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,torchvision==0.22.1+cpu,pypi,BSD-3-Clause,Y,imported
Dockerfile-camcalibration,traitlets==5.14.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,websocket-client==1.8.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,Werkzeug==3.1.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,widgetsnbextension==4.0.14,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,click==8.2.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,comm==0.2.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,cycler==0.12.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,Flask==3.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,idna==3.10,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,ipython==9.4.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,ipython_pygments_lexers==1.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,ipywidgets==8.1.7,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,itsdangerous==2.2.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,Jinja2==3.1.6,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,joblib==1.5.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,jupyter_core==5.8.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,jupyterlab_widgets==3.0.15,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,MarkupSafe==3.0.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,nbformat==5.10.4,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,nest-asyncio==1.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,numpy==1.26.4,pypi,BSD-3-Clause,Y,imported
Dockerfile-controller,pandas==2.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,prompt_toolkit==3.0.51,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,protobuf==4.24.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,Pygments==2.19.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,python-dateutil==2.9.0.post0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,scikit-learn==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,scipy==1.16.1,pypi,BSD-3-Clause,Y,imported
Dockerfile-controller,shapely==2.1.1,pypi,BSD-3-Clause,Y,imported
Dockerfile-controller,threadpoolctl==3.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,traitlets==5.14.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,Werkzeug==3.1.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,widgetsnbextension==4.0.14,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,asgiref==3.9.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,click==8.2.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,comm==0.2.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,cycler==0.12.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,Django==5.2.4,pypi,BSD-3-Clause,Y,imported
Dockerfile-manager,django-debug-toolbar==6.0.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,django-session-timeout==0.1.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,Flask==3.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,idna==3.10,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,ipython==8.37.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,ipywidgets==8.1.7,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,isodate==0.7.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,itsdangerous==2.2.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,Jinja2==3.1.6,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,joblib==1.5.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,jupyter_core==5.8.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,jupyterlab_widgets==3.0.15,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,lxml==6.0.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,MarkupSafe==3.0.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,nbformat==5.10.4,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,nest-asyncio==1.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,numpy==1.26.4,pypi,BSD-3-Clause,Y,imported
Dockerfile-manager,oauthlib==3.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,pandas==2.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,prompt_toolkit==3.0.51,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,Pygments==2.19.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,python-dateutil==2.9.0.post0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,scikit-learn==1.7.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,scipy==1.15.3,pypi,BSD-3-Clause,Y,imported
Dockerfile-manager,sqlparse==0.5.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,threadpoolctl==3.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,traitlets==5.14.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,websockets==15.0.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,Werkzeug==3.1.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,widgetsnbextension==4.0.14,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-model-installer,mpmath==1.3.0,pypi,BSD-3-Clause,N,used
Dockerfile-camcalibration,python3-pkg-resources:59.6.0-1.2ubuntu0.22.04.3,Ubuntu,BSD-3-Clause and Apache-2.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,python3-setuptools:59.6.0-1.2ubuntu0.22.04.3,Ubuntu,BSD-3-Clause and Apache-2.1,Y,indirect dependency automatically installed
Dockerfile-camcalibration,Ubuntu:22,DockerHub,collection of licenses,N,base image
Dockerfile-controller,Ubuntu:24,Ubuntu,collection of licenses,N,base image
Dockerfile-manager,Ubuntu:22,Ubuntu,collection of licenses,N,base image
Dockerfile-models,busybox:1.37,DockerHub,collection of licenses,N,base image
Dockerfile-secrets,Ubuntu:22,DockerHub,collection of licenses,N,base image
Dockerfile-tests,busybox,DockerHub,collection of licenses,N,base image
Dockerfile-manager,libmosquitto1:amd64:2.0.11-1ubuntu1.2,Ubuntu,"Eclipse Public License 2.0 OR
Eclipse Distribution License 1.0",Y,indirect dependency automatically installed
Dockerfile-manager,mosquitto-clients:2.0.11-1ubuntu1.2,Ubuntu,"Eclipse Public License 2.0 OR
Eclipse Distribution License 1.0",Y,used at initialization
Dockerfile-camcalibration,paho-mqtt==2.1.0,pypi,EPL-1.0,Y,imported
Dockerfile-controller,paho-mqtt==2.1.0,pypi,EPL-1.0,Y,imported
Dockerfile-manager,paho-mqtt==2.1.0,pypi,EPL-2.0 OR BSD-3-Clause,Y,imported
Dockerfile-controller,libfreetype6:amd64:2.13.2+dfsg-1build3,Ubuntu,FTL,Y,indirect dependency automatically installed
Dockerfile-camcalibration,bindfs:1.14.7-1,Ubuntu,GPL-2.0,Y,Used at initialization
Dockerfile-camcalibration,fuse:2.9.9-5ubuntu3,Ubuntu,GPL-2.0,Y,used
Dockerfile-camcalibration,libfuse2:amd64:2.9.9-5ubuntu3,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libsensors-config:1:3.6.0-7ubuntu1,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libsensors5:amd64:1:3.6.0-7ubuntu1,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,media-types:7.0.0,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-controller,libmysqlclient21:amd64:8.0.42-0ubuntu0.24.04.2,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-controller,librttopo1:amd64:1.1.0-3build2,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-controller,media-types:10.1.0,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-controller,netbase:6.4,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,bindfs:1.14.7-1,Ubuntu,GPL-2.0,Y,used at initialization
Dockerfile-manager,fuse:2.9.9-5ubuntu3,Ubuntu,GPL-2.0,Y,used
Dockerfile-manager,libfuse2:amd64:2.9.9-5ubuntu3,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,libsensors-config:1:3.6.0-7ubuntu1,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,libsensors5:amd64:1:3.6.0-7ubuntu1,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,media-types:7.0.0,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,netbase:6.3,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,ssl-cert:1.1.2,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,ucf:3.0043,Ubuntu,GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-secrets,media-types:7.0.0,Ubuntu,GPL-2.0,N,indirect dependency automatically installed
Dockerfile-controller,libcfitsio10t64:amd64:4.3.1-1.1build2,Ubuntu,GPL-2.0 and LGPL-2.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libgomp1:amd64:12.3.0-1ubuntu1~22.04,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libreadline8:amd64:8.1.2-1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,readline-common:8.1.2-1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,wget:1.21.2-2ubuntu1.1,Ubuntu,GPL-3.0,Y,used
Dockerfile-controller,libgfortran5:amd64:14.2.0-4ubuntu2~24.04,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-controller,libgomp1:amd64:14.2.0-4ubuntu2~24.04,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-controller,libqt5core5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libqt5dbus5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libqt5gui5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libqt5network5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libqt5opengl5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libqt5test5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libqt5widgets5t64:amd64:5.15.13+dfsg-1ubuntu1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed by opencv-contrib
Dockerfile-controller,libreadline8t64:amd64:8.2-4build1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-controller,readline-common:8.2-4build1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,libgdbm-compat4:amd64:1.23-1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,libgdbm6:amd64:1.23-1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,libgomp1:amd64:12.3.0-1ubuntu1~22.04,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,libreadline8:amd64:8.1.2-1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,python-is-python3:3.9.2-2,Ubuntu,GPL-3.0,Y,used
Dockerfile-manager,readline-common:8.1.2-1,Ubuntu,GPL-3.0,Y,indirect dependency automatically installed
Dockerfile-secrets,libreadline8:8.1.2-1,Ubuntu,GPL-3.0,N,indirect dependency automatically installed
Dockerfile-secrets,make:4.3-4.1build1,Ubuntu,GPL-3.0,N,used for build
Dockerfile-secrets,readline-common:8.1.2-1,Ubuntu,GPL-3.0,N,indirect dependency automatically installed
Dockerfile-camcalibration,pillow==11.3.0,pypi,HPND,Y,imported
Dockerfile-manager,pillow==11.3.0,pypi,HPND,Y,imported
Dockerfile-controller,libicu74:amd64:74.2-1ubuntu3.1,Ubuntu,ICU License,Y,indirect dependency automatically installed
Dockerfile-controller,tzdata:2025b-0ubuntu0.24.04.1,Ubuntu,ICU License,Y,indirect dependency automatically installed
Dockerfile-manager,libicu70:amd64:70.1-2,Ubuntu,ICU License,Y,indirect dependency automatically installed
Dockerfile-manager,tzdata:2025b-0ubuntu0.22.04.1,Ubuntu,ICU License,Y,indirect dependency automatically installed
Dockerfile-camcalibration,intel-openmp==2025.2.0,pypi,Intel End User License,Y,dependency
Dockerfile-camcalibration,intel-cmplr-lib-ur==2025.2.0,pypi,Intel End User License Agreement for Developer Tools,Y,indirect dependency. auto installed
Dockerfile-camcalibration,tcmlib==1.4.0,pypi,Intel Simplified Software License,Y,indirect dependency. auto installed
Dockerfile-camcalibration,pexpect==4.9.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-camcalibration,ptyprocess==0.7.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-camcalibration,requests-file==2.1.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-camcalibration,requests-oauthlib==2.0.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-controller,mapbox_earcut==1.0.3,pypi,ISC,Y,imported
Dockerfile-controller,pexpect==4.9.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-controller,ptyprocess==0.7.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-manager,pexpect==4.9.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-manager,ptyprocess==0.7.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-manager,requests-file==2.1.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-manager,requests-oauthlib==2.0.0,pypi,ISC,Y,indirect dependency. auto installed
Dockerfile-camcalibration,sudo:1.9.9-1ubuntu2.5,Ubuntu,ISC License,Y,used
Dockerfile-controller,sudo:1.9.15p5-3ubuntu5.24.04.1,Ubuntu,ISC License,Y,used
Dockerfile-manager,sudo:1.9.9-1ubuntu2.5,Ubuntu,ISC License,Y,used
Dockerfile-controller,libjbig0:amd64:2.1-6.1ubuntu2,Ubuntu,JBIG License,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libpciaccess0:amd64:0.16-3,Ubuntu,LGPL,Y,indirect dependency automatically installed
Dockerfile-controller,libjson-c5:amd64:0.17-1build1,Ubuntu,LGPL-2.0,Y,indirect dependency automatically installed
Dockerfile-manager,locales:2.35-0ubuntu3.10,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libglib2.0-0:amd64:2.72.4-0ubuntu2.5,Ubuntu,LGPL-2.1,Y,linked
Dockerfile-controller,libapparmor1:amd64:4.0.1really4.0.1-0ubuntu0.24.04.4,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libde265-0:amd64:1.0.15-1build3,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libfyba0t64:amd64:4.1.1-11build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libgeos-c1t64:amd64:3.12.1-3build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libgeos3.12.1t64:amd64:3.12.1-3build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libglib2.0-0t64:amd64:2.80.0-6ubuntu3.4,Ubuntu,LGPL-2.1,Y,linked
Dockerfile-controller,libgudev-1.0-0:amd64:1:238-5ubuntu1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libheif-plugin-aomdec:amd64:1.17.6-1ubuntu4.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libheif-plugin-libde265:amd64:1.17.6-1ubuntu4.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libheif1:amd64:1.17.6-1ubuntu4.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libinput-bin:1.25.0-1ubuntu3.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libinput10:amd64:1.25.0-1ubuntu3.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libodbc2:amd64:2.3.12-1ubuntu0.24.04.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libodbcinst2:amd64:2.3.12-1ubuntu0.24.04.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libogdi4.1:amd64:4.1.1+ds-3build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libpoppler134:amd64:24.02.0-1ubuntu9.5,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,librtmp1:amd64:2.4+20151223.gitfa8646d.1-2build7,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libsensors-config:1:3.6.0-9build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libsensors5:amd64:1:3.6.0-9build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libsocket++1:amd64:1.12.13+git20131030.5d039ba-1build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libssh-4:amd64:0.10.6-2ubuntu0.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libtirpc-common:1.3.4+ds-1.1build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libvulkan1:amd64:1.3.275.0-1build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libwebp7:amd64:1.3.2-0.4build3,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,libwebpmux3:amd64:1.3.2-0.4build3,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,mysql-common:5.8+1.1.0build1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-controller,unixodbc-common:2.3.12-1ubuntu0.24.04.1,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-manager,libglib2.0-0:amd64:2.72.4-0ubuntu2.5,Ubuntu,LGPL-2.1,Y,linked
Dockerfile-manager,libio-pty-perl:1:1.15-2build2,,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-manager,librtmp1:amd64:2.4+20151223.gitfa8646d.1-2build4,Ubuntu,LGPL-2.1,Y,indirect dependency automatically installed
Dockerfile-secrets,librtmp1:2.4+20151223.gitfa8646d.1-2build4,Ubuntu,LGPL-2.1,N,indirect dependency automatically installed
Dockerfile-secrets,libssh-4:0.9.6-2ubuntu0.22.04.3,Ubuntu,LGPL-2.1,N,indirect dependency automatically installed
Dockerfile-camcalibration,libelf1:amd64:0.186-1ubuntu0.1,Ubuntu,LGPL-3.0,Y,imported
Dockerfile-controller,libelf1t64:amd64:0.190-1.1ubuntu0.1,Ubuntu,LGPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,libelf1:amd64:0.186-1ubuntu0.1,Ubuntu,LGPL-3.0,Y,indirect dependency automatically installed
Dockerfile-manager,psycopg2-binary==2.9.10,pypi,LGPL-3.0,Y,imported
Dockerfile-manager,libpng16-16:amd64:1.6.37-3build5,Ubuntu,libpng License,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libdrm-amdgpu1:amd64:2.4.113-2~ubuntu0.22.04.1,Ubuntu,MIT,Y,linked
Dockerfile-camcalibration,libdrm-common:2.4.113-2~ubuntu0.22.04.1,Ubuntu,MIT,Y,linked
Dockerfile-camcalibration,libdrm-intel1:amd64:2.4.113-2~ubuntu0.22.04.1,Ubuntu,MIT,Y,linked
Dockerfile-camcalibration,libdrm-nouveau2:amd64:2.4.113-2~ubuntu0.22.04.1,Ubuntu,MIT,Y,linked
Dockerfile-camcalibration,libdrm-radeon1:amd64:2.4.113-2~ubuntu0.22.04.1,Ubuntu,MIT,Y,linked
Dockerfile-camcalibration,libdrm2:amd64:2.4.113-2~ubuntu0.22.04.1,Ubuntu,MIT,Y,linked
Dockerfile-camcalibration,libegl-mesa0:amd64:23.2.1-1ubuntu3.1~22.04.3,Ubuntu,MIT,Y,used by open3d
Dockerfile-camcalibration,libegl1:amd64:1.4.0-1,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libexpat1:amd64:2.4.7-1ubuntu0.6,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libgbm1:amd64:23.2.1-1ubuntu3.1~22.04.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libgl1:amd64:1.4.0-1,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libgl1-mesa-dri:amd64:23.2.1-1ubuntu3.1~22.04.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libglapi-mesa:amd64:23.2.1-1ubuntu3.1~22.04.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libglvnd0:amd64:1.4.0-1,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libglx-mesa0:amd64:23.2.1-1ubuntu3.1~22.04.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libglx0:amd64:1.4.0-1,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libpsl5:amd64:0.21.0-1.2build2,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libx11-6:amd64:2:1.7.5-1ubuntu0.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libx11-data:2:1.7.5-1ubuntu0.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libx11-xcb1:amd64:2:1.7.5-1ubuntu0.3,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libxau6:amd64:1:1.0.9-1build5,Ubuntu,MIT,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libxcb-dri2-0:amd64:1.14-3ubuntu3,Ubuntu,MIT,Y,indirect dependency automatically installed
